,cigever,cigtry,cigyfu,cig30av,cigage,alcever,alctry,alcyfu,aldaypwk,mjever,mjage,mjyfu,mrdaypwk,snfamjev,lsd,psilcy,dmtamtfxy,salviadiv,lsdage,lsdyfu,abusealc,abusemrj,dstngd30,suicthnk,yodprev,yowrage,yowrdbtr,yowrsthk,year,irpinc3,catag6,health,irwrkstat,ireduhighst2,newrace2,irsex,snrlgimp
0,2,991,9991,91,991,1,21,9999,99,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,2,2,2,3,11,1,1,2
1,1,18,9999,93,18,1,14,9999,1,1,20,9999,93,1,1,1,2,2,20,9999,0,0,5,2,99,999,99,99,2019,5,5,2,4,11,1,2,1
2,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,1,999,99,99,2019,1,1,2,99,3,1,1,99
3,1,17,9999,4,20,2,991,9991,91,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,5,6,3,2,11,1,1,3
4,2,991,9991,91,991,1,18,9999,93,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,4,5,2,2,10,1,2,3
5,1,14,9999,5,16,2,991,9991,91,2,991,9991,91,1,2,2,2,2,991,9991,0,0,4,2,99,999,99,99,2019,1,3,4,1,4,1,2,1
6,2,991,9991,91,991,1,18,9999,99,2,991,9991,91,2,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,6,5,3,4,11,1,2,4
7,1,9,9999,93,9,1,14,9999,93,1,22,9999,93,1,1,2,2,2,22,9999,0,0,3,2,99,999,99,99,2019,4,6,3,4,11,1,1,1
8,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,2,3,4,7,2,1,4
9,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,2,999,99,99,2019,1,1,4,99,2,7,1,99
10,1,14,9999,5,14,1,18,9999,99,1,16,9999,1,1,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,1,3,2,2,7,1,2,1
11,1,12,9999,93,999,1,5,9999,3,1,15,9999,93,1,1,2,2,2,16,9999,0,0,4,2,99,999,99,99,2019,6,4,3,1,11,1,2,1
12,2,991,9991,91,991,1,16,9999,99,1,18,9999,93,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,6,4,1,1,10,1,2,3
13,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,2,999,99,99,2019,1,1,2,99,3,3,1,99
14,2,991,9991,91,991,1,16,9999,2,1,13,9999,93,1,2,2,2,2,991,9991,0,0,3,2,99,999,99,99,2019,7,5,4,1,9,2,1,3
15,2,991,9991,91,991,1,40,9999,93,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,5,6,2,4,11,1,2,1
16,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,2,999,99,99,2019,1,1,2,99,2,7,1,99
17,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,1,999,99,99,2019,1,1,2,2,7,1,1,99
18,1,17,9999,93,999,1,17,9999,99,1,19,9999,93,1,2,1,2,2,991,9991,0,0,5,2,99,999,99,99,2019,3,4,2,2,11,1,2,2
19,1,16,9999,93,23,1,19,9999,93,1,17,9999,99,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,5,4,2,1,8,1,1,3
20,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,1,999,99,99,2019,1,1,2,2,6,1,1,99
21,1,15,9999,93,16,1,20,9999,7,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,3,6,3,4,8,1,1,3
22,1,18,9999,93,999,1,16,9999,2,2,991,9991,91,2,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,4,3,2,1,11,7,2,3
23,2,991,9991,91,991,1,16,9999,99,1,18,9999,99,1,1,2,2,2,18,9999,0,0,5,2,99,999,99,99,2019,1,2,2,3,8,7,2,2
